ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
12Ang_051	SUPPORT	The old man wouldn't really lie. But perhaps he'd make himself believe that he heard those words and recognized the boy's face. [He wore a torn jacket, and he carried two canes. He is an insignificant man who has been nothing all his life and needs to be recognized].	He was a very old man with a torn jacket, and he carried two canes. This is a quiet, frightened, insignificant man who has been nothing all his life, who has never had recognition—his name in the newspapers. A man like this needs to be recognized. To be questioned, and listened to, and quoted just once.	Act2-TwelveAngryMan	entailment					
AAAI2018_09_08	support	 By the way, mixing up children is possible when practicing sports or other extra school activities. 	 It is easier to implement an education strategy geared specifically towards one gender. And both genders will gain from it. 		neutral	neu	contradiction	neu	True	True
IJCAI2015_01_04	support	Well, the thing is that animals don't have human rights. Humans have large brains, form social groups, communicate and are generally worthy of moral consideration. We also are aware of ourselves and of the nature of death. Some animals have some of these characteristics but not all so should not have the same rights. In harming animals to benefit humans, we enter in to a good moral trade-off to create a greater good.	OK. First of all, the animals have different biological structure with respect to human beings. The test result may not be the same on the animals and human beings. On the other hand, the animal can not talk, of course the researcher can monitor the body status, while some researches need to get accurate feelings from humans.		neutral	entailment	entailment	entailment		
AAAI2018_010_19	attack	"I do not agree with this: ""Put yourself at the site of the diseased or malformed children makes you wonder if it's better off dead"". It is a form of eugenics to me."	The site of the diseased or malformed children is made by actual human, if you're not born, you're not a human yet, specially at the second semester.		neutral	contradiction	contradiction	contradiction		
DebPed_067	support	"Releasing Bin Laden photos would inflame Muslim world White House Spokesman Jay Carney: ""There are sensitivities here in terms of the appropriateness of releasing photographs in the aftermath of this firefight. It is fair to say they're gruesome photographs. It is certainly possible that it could be inflammatory""."	Release of Osama bin Laden death photos incite Muslim reaction, terrorism.	Osamaphoto	entailment					
AAAI2018_01_00	attack	If they have enough evidence that they killed many people, they should be killed.	I'm against death penalty: a human cannot decide about the life of another human. 		neutral	contradiction	contradiction	contradiction		
DebPed_118	attack	Extensively training individuals that will subsequently only spend a couple of years in their respective roles is simply inefficient. It usually takes many years to secure a good return on investment from such training expenditures. Short-term compulsory service is, therefore, an inefficient use of resources.	National conscription is important to national security.	Militaryservice	contradiction					
ArgEss_essay326_04	neutral	car companies use computers to simulate and analyze car accident by computers	Many industries use computers to command to robots in order to do many regular tasks, which were carried out by human early		neutral	neu	neu	neu		
US2016_nodeset10452_013	support	CHRISTIE brought the budget into balance with no tax increases	We cut business taxes $ 2.3 billion		neutral	neu	contradiction	neu	True	True
Web_1846	neutral	UKIP is an opportunistic party that exploits the unpopular European Union for political gain.	The Electoral Commission said it accepted the Supreme Court's judgement and it would carefully consider the implications of the judgment for how impermissible donations are dealt with in future.		neutral	neu	neu	neu		
micro_b064_01	support	For safety reasons alone I find continued operation wrong.	After the new BER Airport has been commissioned, Tegel should definitely be closed.		neutral	entailment	contradiction	entailment		True
Webis-Debate_1729	support	Is the book itself a reliable source? This question extends to the comment in the dust cover.	Following Wikipedia:Reliable sources#Extremist and fringe sources. As this article is about reincarnation, sources by reincarnation believers are appropriate to use in the article as sources of information about those organisations or individuals. The book has generated approval by reincarnation researcher Jim Tucker.		neutral	neu	neu	neu		
AAAI2018_02_06	support	 If it calls for it, it should be. 	 If inflicting pain on an individual is a solution to save the lives of millions then it is simply practical to do so. 		neutral	contradiction	contradiction	contradiction		
FinARG_MSFT_Q1_2016_17164_6_07	support	so the office commercial business grew 5%.	the way to think about that how is i look at – well, the way i would generally say it is you look at each of the kpis we give.		neutral	neu	neu	neu		
US2016_nodeset11304_003	support	the world changed enormously the next day , and that happened in CHRISTIE's state	New Jersey was certainly effected by 9/11		neutral	contradiction	contradiction	contradiction		
FinARG_FB_Q4_2017_17658_7_06	support	she was selling clothes in her living room and selling them.	the eu, the strength in europe was driven by smbs.		neutral	contradiction	neu	neu	True	True
Web_0035	neutral	A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists.	In others, they have thrown up new evidence and perspectives on our relationship with the EU.		neutral	neu	neu	neu		
UKP_cloning_2965	neutral	Cloning should be considered as a promising opportunity for human development.	Some of the laws proposed to prohibit cloning-to-produce-children while permitting cloning-for-biomedical-research identify the act of “ cloning ” not with the creation of a cloned human embryo for research purposes , but only with the transfer of such an embryo to the uterus of a woman .		neutral	neu	neu	neu		
ComArg_UGIP_0420	neutral	As a general proposition, government should be God neutral.  Given the history and tradition of religion in our country AND the difficulty in making a change, I would not waste the political capital to get it done.	Implies ultimate power on the part of the state		neutral	neu	neu	neu		
ArgEss_essay129_00	neutral	I thought I had enough time for eating breakfast and transporting to the testing place; while I was stocked in a traffic jam and then missed the first test	I just failed to participate in the university entrance exam		neutral	contradiction	neu	neu	True	True
