ID	seg1_text	seg2_text	gold
ComArg_UGIP_0111	I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.	America is based on democracy and the pledge should reflect the belief of the American majority.	contradiction
ArgEss_essay041_03	students might have little idea of the real challenges or the true situation when they enter the workforce after graduation	the internship, although without pay, can give them the experiences that money cannot buy	neu
NK_deb_1654	If your schools are n't adequate the Federal Government is going to provide it . If you do n't have the right kind of health care , the Federal Government will set up a program that will do it . And you do n't have to worry about it .	Although 15 million Americans are forced to live in substandard dwellings - the Republican Party has adopted policies which have slowed down private housing - and consistently blocked Democratic efforts to enact programs to clear our slums , renew our cities , and provide decent homes for Americans of low and moderate incomes . And finally , although 9 million Americans over the age of 65 receive incomes of less than $ 20 a week - and 3 million more receive incomes of less than $ 40 a week - amounts on which they can not afford their higher medical bills - the Republican Party , only 2 weeks ago , blocked our efforts to provide medical care for the aged under social security . Some people say that this last brief session of the Congress was a handicap to the Democratic Party - and it is true that the Republicans blocked our efforts on every major front .	neu
QT30_nodeset20736_000	we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning	we're talking about Sara Everard's murder in a clinical, policy-driven way about an appalling human event	neu
JoDeb_norm_6897	Trans fats should be banned.	Trans fat ban creates slippery slope to further nannying	entailment
IBM_stance_2036	This house would unleash the free market	"free markets are ""simply more productive"	neu
ArgEss_essay123_04	they believe they are immature and they can trap them easily	They cheat young ages	neu
ArgEss_essay218_04	I did not have to worry about costs and other things, I just had fun and learned	in childhood most people are happier than in adulthood	neu
NK_deb_1540	But we can always do better and I am determined that we shall do better in quickening the pace of our economic advance and in minimizing interruptions to it . I am determined to undertake every sensible measure to that end , to lift to ever higher levels the number of jobs in America , to reduce unemployment further , and to utilize more fully our industrial capacity in steel and other lines To achieve that goal we must release fully the greatest creative force in human affairs - the spirit of individual enterprise in 180 million Americans . That effort calls for a many-sided program which I have been developing , and will continue to develop , in this campaign .	Unemployment is not inisignificant to the almost 4 million Americans who want to work , but who ca n't find work - almost a quarter of a million of them in Michigan alone - or to the almost 900,000 Americans who have been out of work for more than 15 weeks and who are now classified as  long-term unemployed .  Unemployment is not insignificant to the families of the unemployed - families who are forced to live in substandard homes and are unable to maintain even a subsistence of living in the richest country on earth . Unemployment is not insignificant to the children of the unemployed who are deprived of decent clothing and a decent diet .	neu
JoDeb_norm_0390	Corps. do have a right to free speech and to spend w/o limit in elections.	Unlimited spending breaks stranglehold of incumbents	neu
AAAI2018_07_14	 The government has the tools to decide whether it is good or not to vaccinate the population. 	 The government and more precisely the law are there to support parents in the process of growing up their kids. 	neu
FinARG_AMZN_Q4_2018_18415_7_01	on the international, on an fx neutral basis, the growth was 15% in q3 and 19% in q4.	we generally work to change the fees to make sure that the incentives are strong on both sides and we continue to have a healthy growth in third party.	neu
QT50_nodeset28942_010	nurses shouldn't be going on strike	patients don't want nurses to go on strike	entailment
US2016_nodeset10848_014	TRUMP takes advantage of the laws of the nation	TRUMP's obligation right now is to do well for himself, his family, his employees, and for his companies	neu
UKP_gun_control_0916	Gun laws should be more restrictive.	The federal law says that a person who has ever been involuntarily committed to a mental hospital or who has been found by a court to be mentally defective is prevented from buying a firearm , but that would disqualify a very small number of people .	neu
Web_1845	If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.	The group suggest that within five years UKIP will have more members than the Tories at the current rate of attrition.	neu
Webis-Debate_0791	It is proposed to merge this article with Ring Nebula (NGC 6822).	but agreed that a disambiguation page is needed.	neu
UKP_school_uniforms_newFormat_2324	School uniforms should be established in schools.	We must not allow citizens with medical problems to go untreated because of financial problems or red tape .	neu
FinARG_FB_Q4_2019_17761_7_09	so whether that's marketplace for buying and selling things.	but there are different social utilities that even if not everyone wants to use them, hundreds of millions of people might find value in.	neu
UKP_gun_control_2531	Gun laws should be more restrictive.	But he was also confident he could find new customers .	neu
FinARG_AAPL_Q1_2019_20349_5_05	one of those is through apple tv and you're well familiar with that product.	and i think that it'll likely take place at a much faster pace this year.	neu
UKP_death_penalty_2436	Death penalty should be an option in the penal code.	A guy drives a friend to a 7-11 to get cigarettes .	neu
ArgEss_essay294_03	my university is not in the high-ranking list, he gained a reputation by those projects	The research projects like windows opened to the wider world	entailment
FinARG_FB_Q3_2015_17237_7_01	because one half is pushed, right, going to news feed and not asking for content but just coming across and discovering it.	and i think this is going to be a very important part of the video experience as well,	entailment
QT50_nodeset28481_004	Public Health England and the Food Standards Agency were also involved in guidance to food companies	all of the agencies have been working and contributing to the guidance that businesses are following	neu
IBM_stance_0279	This house would ban boxing	Headgear is not permitted in professional bouts, and boxers are generally allowed to take much more damage before a fight is halted	neu
AbstRCT_23686277_01	There was no difference in the amount of blood loss between both groups: LAP 261.5 ± 195.4 ml, CON 228.1 ± 119.5 ml.	There was no difference in the amount of blood loss between both groups: LAP 261.5 ± 195.4 ml, CON 228.1 ± 119.5 ml.	entailment
QT30_nodeset18876_004	after James Cleverly mentioned that there’s been eight areas, Marsha thinks reviews aren’t enough	it’s time now for reform	entailment
AbstRCT_21224783_02	After the exercise program, improvements were observed in Group 1 in 6-minute walk test, BDI, EORTC QLQ-C30 functional, and EORTC QLQ-C30 BR23 functional scores (P<0.05).	Pilates exercises are effective and safe in female breast cancer patients.	neu
micro_k031_01	Time and again children or the elderly slip on them.	Pieces of dog poo on the pavements are a real danger.	entailment
NK_deb_0112	[ Applause . ] The second bill that was up and which is an issue in this campaign was a bill to provide $ 1.25 minimum wage . Four-fifths of the Republicans in the House of Representatives , including the Congressman of this district , who is chairman of the congressional committee for all Republicans , voted against the $ 1.25 minimum wage for a 40-hour week , not for a business which is only ten , fifteen , or twenty-five thousand dollars a year , but for a business which makes more than $ 1 million a year , we wanted to pay them $ 1.25 by 1962 , not this year , but 1962 , and to pay those that were not covered by 1964 $ 1.25 , and four-fifths of the Republicans voted against it .	The administration 's position is in between . We would extend coverage to approximately 3 million not presently covered , and the coverage which we would extend is to those particular businesses which operate interstate and which have larger gross incomes and , therefore , businesses that we think could , therefore , pay the minimum wage , not resulting in unemployment , which might result if such businesses covered by the broader coverage of the Kennedy bill were brought under the minimum wage . I think the administration bill is the proper approach , and within the Senate at the present time , where the legislation currently is lodged , I am pressing for adoption of the administration bill .	neu
IJCAI2015_02_04	They might be positive effects of using nuclear technology, but I think the consequences of a failure in the system are too large to keep using it. The radiations last for years after a tragedy.	The balance here is about cost and pollution but the eventual damage can be more important than that, we can be sick or loose our lives.	entailment
micro_k022_04	Furthermore, there's no need to keep shops open on Sundays.	It is quite clear that Sunday should remain a day of rest.	entailment
IBM_stance_1784	This house would only teach abstinence for sex education in schools	Programs that stress abstinence as the only acceptable behavior for unmarried teens delay the initiation of sex	entailment
Webis-Debate_0621	This article overlaps greatly with Microfabrication. I admit that the two terms are not exactly synonymous, and each includes some areas that the other does not. However, I think that we should restructure our coverage of micro/electronic fabrication to eliminate this overlap and clearly identify non-overlapping areas. --	per Dick. While microfabrication has largely been a semiconductor-dominated field in the past, the development of biomedical MEMS and the like have provided the motivation for developing microfabrication techniques for totally unrelated materials like polymers. These articles should remain separate and have little overlap, even if the articles' current status don't reflect this ideal. -- mattb @ 2007-01-18T19:55Z	neu
ArgEss_essay129_00	I thought I had enough time for eating breakfast and transporting to the testing place; while I was stocked in a traffic jam and then missed the first test	I just failed to participate in the university entrance exam	neu
