ID	relation	seg1_text	seg2_text	topic	nli	annot1	annot2	gold	neu conflict	disagree
Web_1182	neutral	If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.	The Conservative leader said he was angry at the remarks and accused Mr Barroso of lecturing his party.		neutral	neu	contradiction	neu	True	True
DebPed_234	attack	The majority of people caught drink driving have not been from random breath tests. They have been from tip-offs, police chases and police pulling over suspects, not random breath testing.	 Millions of Canadians continue to drink and drive because they can do so with little fear of being stopped, let alone charged and convicted. Recent survey results and charge and conviction data indicate you could drive drunk once a week for more than 3 years before ever being charged with an impaired driving offence, and for over 6 years before ever being convicted. Other survey data would put the figures closer to 6 and a half years before a charge, and nearly 13 years before a conviction.	Sobrietytest	neutral					
Webis-Debate_4458	neutral	I prefer the version edited by Pmanderson on 22 Dec 2009 (the version by Gun Powder Ma). That version needs some improvement (some consistency in spelling for one thing), but the version is much superior to the version by Ludwigs2. I do not find the complaint about references persuasive. I do not find that the disputed section has too much prominence. Gun Powder Ma is not creating a relationship between the Roman Empire and taoism. PYRRHON  talk  	I found an explicit reference to the Roman symbols in a work entirely devoted to Taoism. It is, notably, included in a discussion of the history of the Taijitu in the The encyclopedia of Taoism, pp.934-36:		neutral	neu	contradiction	neu	True	True
Web_3278	attack	faith is believeing in something without evidence	evolution has actually never been observed		neutral	neu	neu	neu		
AAAI2018_01_17	support	Yes agree with this idea of building Quebec's road 	I just think it is better that they give back to society, we could use people to rebuild Quebec's roads, just saying. 		neutral	entailment	entailment	entailment		
DebPed_119	support	"No-fly zone would significantly benefit Libyan rebels. General McPeak said to New York Times: ""I think it would have a real impact. It might change their calculation of who might come out on top. Just the mere announcement of this might have an impact""."	A no-fly zone over Libya has a significant impact on conflict.	Noflyzone	entailment					
DebPed_285	support	It's not true that all terrorists are Muslims. Any such measure would not only alienate people, it would also be ineffective in terms of stopping terrorists. What's to stop them dressing up as orthodox Jews in order to evade profiling-based searches?	"Racial airport security profiling is also unworkable. Once aware of national profiling, terrorists will simply use people from ""non-profiled"" countries or origins, like FBI most-wanted Qaeda suspect Adam Gadahn, an American."	Securityprofiling	neutral					
DebPed_090	support	Internet access is essential to other human rights. United Nations' Universal Declaration of Human Rights includes the right to education and the right to work, which may hinge on Internet access. And, indeed, The European Parliament has ruled that it sees internet access as 'critical for the practical exercise of a wide array of fundamental rights.	Internet access is fundamental in modernity.	Internetaccess	entailment					
Webis-Debate_1667	support	::Overall, looking through the cited references, more than half appear to be primary (Masonic) sources, including some Masons' private webpages. There are populist published sources of questionable reliability on the topic of Freemasonry, and it obviously makes sense to avoid those. But there is also a wealth of authoritative academic sources on the topic, and we should not ignore these latter in favour of primary sources. Jayen466	in principle. Secondary <shortcut-placeholder> are preferable, but that doesn't mean primary sources shouldn't be used if the article text it supports is non-controversial (ie. we shouldn't throw out good text just because it is thinly referenced). I think the real issue with the quoted text above is that it is a bit masonic apologist and is therefore WP:POV. Both the criticism and the defense against the criticism could be removed without loss of article quality. --		neutral	contradiction	neu	neu	True	True
US2016_nodeset10463_017	support	CHRISTIE would act on Social Security	we need to deal with this problem		neutral	contradiction	neu	neu	True	True
12Ang_060	ATTACK	[The man] said [it took him] twenty seconds [to get up out of bed, run to the door, and see the kid beat it downstairs].	"[We are not supposed to believe that the old man didn't get up out of bed, run to the door, and see the kid beat it downstairs fifteen seconds after the killing]. We're going to find out how a man who's had two strokes in the past three years, and who
walks with a pair of canes, could get to his front door in fifteen seconds."	Act2-TwelveAngryMan	contradiction					
AAAI2018_04_20	attack	And almost all wars start because of religion. 	The war of some century's ago where almost all war for territory and power and use the religion for consolidate their purpose but the majority of time the religion was not the first purpose. 		neutral	contradiction	contradiction	contradiction		
12Ang_053	ATTACK	"I think we proved that the old man couldn't have heard the boy say, ""I'm going to kill you"" but supposing he really did hear it? This phrase: how many times has each of you used it? Probably hundreds. ""If you do that once more, Junior, I'm going to murder you."" ""Come on, Rocky, kill him!"" We say it every day. This doesn't mean that we're going to kill someone."	"The old man heard the kid yell, ""I'm gonna kill you."" A second later he heard the father's body falling, and he saw the boy running out of the house fifteen seconds after that."	Act2-TwelveAngryMan	contradiction					
DebPed_044	support	Child beauty pageants judge whole person. Some of the criteria considered in judging a pageant are writing skills, interviews, personality, looks, confidence and talent, depending on the specific competition.	Child beauty contests teach good life lessons.	Childbeautycontests	entailment					
DebPed_168	attack	A recent National Highway Traffic Safety Administration survey reports that 44 percent of drivers have a cell phone with them while driving, a number that will only increase with the proliferation of phone ownership. We calculated that car accidents associated with phone use account for about 300 deaths per year. While small in comparison to the 41,000 annual deaths from car accidents, these deaths raise the question whether cell phone use while driving is justifiable. We think a ban is unwise at this time because vehicular cell phone use provides substantial personal and societal benefits, but does not contribute to a large number of serious accidents.	Physically holding a handset removes one hand from the controls, making accidents more likely, while dialling is even worse, as it also requires the user to divert their attention away from the road.	Cellphones	contradiction					
UKP_death_penalty_2417	support	Death penalty should be an option in the penal code.	It deters would-be criminals to commit felonies .		neutral	entailment	neu	neu	True	True
AbstRCT_16921034_01	support	Compliance with QOL was 87% at baseline and more than 70% during treatment.	Erlotinib not only improves survival in previously treated patients with NSCLC, but also improves tumor-related symptoms and important aspects of QOL.		neutral	neu	contradiction	neu	True	True
FinARG_FB_Q4_2017_17658_7_10	support	gymshark is a fitness clothing brand based in the uk.	if you use our targeting tools well, you can actually start out with demand fulfillment.		neutral	neu	neu	neu		
AAAI2018_04_15	attack	The religion is an independent factor, it should not be a dissociative factor separating people. 	But people prefer to fight against the others to prove that their god is the strongest. 		neutral	contradiction	neu	neu	True	True
ArgEss_essay158_01	neutral	the preservation is very expensive because all components of old buildings have historical values	governments can construct more accommodation instead of preserving old buildings		neutral	contradiction	contradiction	contradiction		
IJCAI2015_02_02	support	Yes, we should use the nuclear power carefully. I think there are solar power, water power, and wind power as alternative solutions.	Participant1 I totally agree with you.		neutral	entailment	neu	neu	True	True
QT30_nodeset23749_001	support	to Richard Walker as a patient it doesn't feel right, he's really quite nervous, about the lack of face to face contacts with GPs	from the lack of contact GPs might therefore be  missing the nuances, the small things that potentially you can only get from a face to face consultation		neutral	contradiction	contradiction	contradiction		
ArgEss_essay169_12	neutral	Through to use the equipment and invent their own work, they may get more experience in the process of research	professors could teach students through research and projects		neutral	entailment	neu	neu	True	True
JoKialo_causal_79800	support	Christopher Eccleston, the ninth Doctor.	Is maybe the most unpredictable and fun Doctor in the series since 2005.		neutral	neu	neu	neu		
Web_1354	neutral	"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting."	But he said any future deal with the Conservatives would be difficult, as he claims David Cameron opposes a full, free and fair vote.		neutral	entailment	contradiction	entailment		True
DebPed_260	attack	Internet access is hugely important, but not a right. Internet access [...] is fundamental to my childrens' interactions with the world. It defines their economic utility, their ability to learn, even many of their social relationships. [...] Enabling that, or disabling that, is not a question of 'rights,' but it is fundamental.	Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.	Internetaccess	contradiction					
DebPed_206	attack	People know video game violence is fake.	Some youth have tried to emulate violence in games.	Violentgames	neutral					
ComArg_UGIP_0044	support	Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?	Removing under god would promote religious tolerance		neutral	contradiction	contradiction	contradiction		
DebPed_261	attack	"Internet ""right"" means denying parents' ability to set limits. Do you want to make a world when a mother tells her child: ""you cannot stay on the internet anymore"" that she has taken a right from him? Compare taking the right for a home or for education with taking the ""right"" to access the internet."	Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.	Internetaccess	neutral					
ArgEss_essay142_08	neutral	they are worth to have good care	the increase in life expectancy puts a high pressure on the economic system		neutral	neu	neu	neu		
DebPed_036	support	Coca chewing can help relieve hunger, fight obesity. Because coca helps suppress one's appetite, it is also a means of combating overeating and obesity.	Coca has no negative health effects.	Cocanarcotic	entailment					
DebPed_076	support	Releasing the photos could deter would-be jihadists, who would have to think a little harder when they see the bloodied bodies of Osama's men killed in the firefight in his hideaway, photos obtained by Reuters from a Pakistani security officer and rightly released on Wednesday.	Bin Laden death photos send warning to US enemies.	Osamaphoto	entailment					
DebPed_102	support	"Intentions of ground zero mosque developers are pure. State Department Spokesman P.J. Crowley said: ""We have a long-term relationship with Imam Faisal Abdul Rauf. His work on tolerance and religious diversity is well-known and he brings a moderate perspective to foreign audiences on what it's like to be a practicing Muslim in the United States""."	"The intentions of Cordoba House (also referred to as the ""Ground Zero Mosque"") developers are pure."	Groundzeromosque	entailment					
UKP_nuclear_energy_2930	attack	Nuclear energy is a good energy source for the future.	Nuclear plants are being closed due to safety ; this should continue .		neutral	contradiction	contradiction	contradiction		
Webis-Debate_0945	attack	:Panhellenic Socialist Movement → – per WP:COMMONNAME. In English, the party is overwhelmingly known as PASOK. BrownHairedGirl (talk) • (contribs)	- PASOK is not a name, it is an initialisation/abbreviation. Articles for political parties on en.wiki use English language translations of the party names as the article titles, not abbreviations (e.g. we have an article called Social Democratic Party of Germany, not SPD (Germany)). The commonly accepted English language translation of this party's Greek language name is the Panhellenic Socialist Movement, which should remain the article's title.--		neutral	contradiction	entailment	contradiction		True
JoKialo_causal_75572	support	Citizen Science is beneficial to science.	There are arguments that citizen science is not professional. In that case, it could be said that the professional science manufactures science whereas citizen science practices science. However, the reverse could be true too.		neutral	neu	entailment	neu	True	True
JoDeb_norm_8949	support	Nations should increase economic and social protections for migrants.	Strengthening migrant rights improves diplomatic relations		neutral	entailment	entailment	entailment		
FinARG_FB_Q1_2019_17728_7_01	support	we have worked on some voice products on portal; that’s an important way that people interact.	and so we’re certainly very focused on things like video calling and voice calling and ways that people can communicate with voice.		neutral	entailment	entailment	entailment		
micro_k001_00	support	Particularly the younger generations are no longer dependent on the programming of public broadcasters.	Not everyone should be obliged to pay the TV & radio licence.		neutral	entailment	contradiction	entailment		True
AAAI2018_01_26	attack	I think you are right, but is very exception cases, i can be okey with killing them. 	I think we cannot go for death penalty, only god can decide about human life. 		neutral	contradiction	contradiction	contradiction		
QT30_nodeset25472_076	support	it starts at school	when Nadhim Zahawi was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum		neutral	contradiction	neu	neu	True	True
DebPed_052	support	At the end of the day, it's entirely possible that giving Libyan rebels a boost in arms could, at a minimum, level the playing field with respect to Gaddafi forces.	Arming Libyan rebels has a military impact on the rebels' combat abilities and in ousting Gaddafi from power.	Arminglibianrebels	entailment					
DebPed_176	support	Marijuana induces different experiences in different individuals; some of these experiences are great, some are terrible and harmful. Individuals should be free to choose to use marijuana or not, depending on their relative experience.	Individuals should be at liberty to use marijuana.	Marijuanafree	entailment					
UKP_nuclear_energy_2398	neutral	Nuclear energy is a good energy source for the future.	These discussions always kinda baffle me .		neutral	neu	neu	neu		
DebPed_229	attack	"This is a nightmare trying to train the Libyans. I tried to do it many years ago,"" said Robert Baer, a former CIA operative. These people are very difficult to manage."	The rebels don't need arms so much as technical and tactical training in how to use them, the creation of some kind of communications network, and a command structure that might help them become a cohesive fighting force.	Arminglibianrebels	neutral					
Webis-Debate_1579	attack	::Merge the main characters? I think they are important enought to be kept. Bowser Junior Nutt.	all merges except Mr. Thicknose. He definitely shouldn't have his own page. --		neutral	contradiction	contradiction	contradiction		
DebPed_307	support	 No matter what research you read of who's stories you listen to, the fact remains that the bad or good aspects of marijuana use are above all else subjective, and in essence an oppinion. It is simply a judgement call. Each side has it's oppinion on the benefits and/or negative ramifications of marijuana use. With marijuana use there are the same pitfalls as any other life activity... bad judgement yeilds bad results... but our ability to choose for ourselves MUST be preserved. 	If marijuana is harmful, shouldn't individuals be at liberty to experience the punishment of a poor choice, and shouldn't this mean that marijuana use entails its own punishments that requires no imposed government punishment.	Marijuanafree	neutral					
DebPed_087	support	Internet access is essential now; must be a right. The internet is only that wire that delivers freedom of speech, freedom of assembly, and freedom of the press in a single connection.	Internet access is fundamental in modernity.	Internetaccess	entailment					
FinARG_FB_Q1_2017_17610_7_05	support	and then rest-of-world, we saw a rebound in latin america, especially brazil, so we're seeing some particular strength there.	so i think that i think was a big highlight.		neutral	entailment	entailment	entailment		
IBM_stance_1780	support	This house would only teach abstinence for sex education in schools	Premarital sex is considered to be morally objectionable		neutral	neu	entailment	neu	True	True
UKP_cloning_2312	neutral	Cloning should be considered as a promising opportunity for human development.	We think SCNT can produce some very special cells , but not yet a child .		neutral	neu	neu	neu		
DebPed_159	support	Gasoline vehicles can be converted to run on natural gas. This means that heavy-polluting vehicles can be transformed into much lower-emission vehicles. This is key, as the millions of gasoline vehicles on the road currently cannot be immediately removed from the road. 	Natural gas vehicles help cut emissions and fight global warming.	Gasvehicles	entailment					
DebPed_023	support	China one-child forestalls problems associated with overpopulation. The reduction in fertility rate and thus population size reduced the severity of problems that come with overpopulation, like epidemics, slums, overwhelmed social services (health, education, law enforcement, and more), and strain on the ecosystem from abuse of fertile land and production of high volumes of waste. 	"China's ""one child"" policy is the key to control China's population."	Chinaonechildpolicy	entailment					
12Ang_066	ATTACK	For an old man who uses canes, going [to the man's front door] is a long walk.	[Going to the man's front door is not a long walk. He could have get there in fifteen seconds.]	Act2-TwelveAngryMan	contradiction					
